Date,Reps_Assigned,Reps_Completed,Load_kg
2026-02-02,363,224.0,11220.0
2026-02-03,286,179.0,4875.0
2026-02-04,420,217.0,6630.0
2026-02-05,162,90.0,600.0
2026-02-06,340,,
2026-02-09,293,96.0,2655.0
2026-02-10,232.0,236.0,3440.0
2026-02-11,272,242.0,8220.0
2026-02-12,308.0,316.0,3010.0
2026-02-13,386,,
2026-02-14,560.0,560.0,3060.0
2026-02-16,203,,
2026-02-17,248.0,248.0,3450.0
2026-02-18,405.0,405.0,6935.0
2026-02-19,308.0,316.0,3330.0
2026-02-20,386,202.0,4940.0
2026-02-21,348.0,,
2026-02-23,413.0,443.0,6700.0
2026-02-24,248.0,264.0,3658.0
2026-02-25,308.0,316.0,3700.0
2026-02-26,348.0,348.0,5010.0
2026-02-27,336.0,336.0,4596.0
2026-02-28,348.0,,
2026-03-02,325.0,355.0,6615.0
2026-03-03,296.0,248.0,3210.0
2026-03-04,353.0,361.0,3965.0
2026-03-05,163,35.0,1220.0
2026-03-06,352.0,352.0,4906.0
2026-03-07,12.0,,
2026-03-09,333.0,353.0,9829.0
2026-03-10,299.0,299.0,3310.0
2026-03-11,380.0,389.0,6050.0
2026-03-12,163,181.0,7820.0
2026-03-13,358.0,358.0,7812.0
2026-03-14,12.0,,
2026-03-16,333.0,352.0,10270.0
2026-03-17,299.0,356.0,3610.0
2026-03-18,380.0,388.0,6920.0
2026-03-19,163,23.0,625.0
2026-03-20,500,276.0,4440.0
